event_id,iter_id,storm_path,x0,y0,x,y,dx_m,dy_m,precip_avg_mm,precip_avg_in,grid_id,pi_c,A_c,q_draw
iter1_k67,1,19981017,-240000.0,736000.0,433767.615077785,782867.7863799441,673767.615077785,46867.78637994407,0.0,0.0,27,0.02,21430712115.172905,2.1355608783813282e-15
iter1_k68,1,19850223,372000.0,916000.0,419131.4527369194,810197.8933749958,47131.4527369194,-105802.1066250042,27.666295800207397,1.0892242441026534,27,0.02,21430712115.172905,2.1355608783813282e-15
iter1_k69,1,20030406,732000.0,1084000.0,286414.3129997314,742012.604940034,-445585.6870002686,-341987.395059966,14.337988517542344,0.564487736911116,28,0.02,20678307088.676804,2.213265824554722e-15
iter1_k70,1,20050709,1080000.0,1144000.0,263313.05017151893,773487.5858355023,-816686.9498284811,-370512.41416449775,25.676668358969927,1.0108924550775562,28,0.02,20678307088.676804,2.213265824554722e-15
iter1_k71,1,19840501,144000.0,1216000.0,-248718.18034154258,1121879.6752206527,-392718.1803415426,-94120.32477934728,63.40432185447632,2.4962331438770207,29,0.02,20114838625.10125,2.275265103638665e-15
iter1_k72,1,20001214,856000.0,1368000.0,-167380.6434496133,1056493.4127072587,-1023380.6434496134,-311506.5872927413,9.94179174408054,0.39140912378269843,29,0.02,20114838625.10125,2.275265103638665e-15
iter1_k73,1,19931202,196000.0,1244000.0,540077.4465216424,747639.3320646714,344077.4465216424,-496360.66793532856,0.0,0.0,30,0.02,19708054817.87482,2.322227678578741e-15
iter1_k74,1,20120108,260000.0,768000.0,478085.61247533635,801645.3314703942,218085.61247533635,33645.33147039416,18.777879796059455,0.739286606144073,30,0.02,19708054817.87482,2.322227678578741e-15
iter1_k75,1,20010117,652000.0,1240000.0,1030494.9507922761,1236864.7825577683,378494.95079227607,-3135.2174422317185,0.9719325203076391,0.03826505985463146,31,0.02,18587520027.810345,2.4622214432339973e-15
iter1_k76,1,19800327,584000.0,924000.0,902578.1884727274,1248566.1101603801,318578.18847272743,324566.11016038014,0.20490839536569955,0.008067259660066911,31,0.02,18587520027.810345,2.4622214432339973e-15
iter1_k77,1,19920303,28000.0,732000.0,-233642.2579265137,837339.8111779882,-261642.2579265137,105339.81117798819,55.6790204804701,2.192087420490949,32,0.02,18155677288.641464,2.52078673031099e-15
iter1_k78,1,20030612,816000.0,1100000.0,-188110.72064785304,754705.2183158848,-1004110.7206478531,-345294.7816841152,12.137538346871759,0.47785584042802204,32,0.02,18155677288.641464,2.52078673031099e-15
iter1_k79,1,19970228,280000.0,1088000.0,-218291.16950682475,949256.8577392278,-498291.16950682475,-138743.14226077218,62.4317695731075,2.4579436839806106,33,0.02,17518986917.127464,2.612399370209715e-15
iter1_k80,1,19900501,124000.0,1248000.0,-243817.7441220067,890321.55900943,-367817.7441220067,-357678.44099057,11.726856852748012,0.4616872776672446,33,0.02,17518986917.127464,2.612399370209715e-15
iter1_k81,1,19970219,-220000.0,996000.0,635864.9280381723,1379395.7614725858,855864.9280381723,383395.76147258584,0.0,0.0,34,0.02,17388323430.92627,2.6320300844886027e-15
iter1_k82,1,19930619,112000.0,1008000.0,666222.0037483275,1388337.6860778907,554222.0037483275,380337.6860778907,0.0,0.0,34,0.02,17388323430.92627,2.6320300844886027e-15
iter1_k83,1,19830131,756000.0,988000.0,-309075.37555595,712969.0514875583,-1065075.37555595,-275030.9485124417,20.84555797398894,0.8206912588184622,35,0.02,16563530808.580452,2.7630938667562006e-15
iter1_k84,1,20091002,-120000.0,688000.0,-186889.27622689086,630735.2139772791,-66889.27622689086,-57264.78602272086,52.1920476149326,2.0548050242099447,35,0.02,16563530808.580452,2.7630938667562006e-15
iter1_k85,1,20040926,1272000.0,880000.0,1112189.801886125,1249695.094844586,-159810.198113875,369695.094844586,0.06947805046664363,0.002735356317584395,36,0.02,15377844553.454176,2.97613818568194e-15
iter1_k86,1,20020302,1108000.0,880000.0,1099377.1009237187,1202580.4336492105,-8622.899076281348,322580.4336492105,0.013515382747603995,0.0005321016829765352,36,0.02,15377844553.454176,2.97613818568194e-15
iter1_k87,1,19820201,912000.0,860000.0,20796.792185171875,1273472.7948330045,-891203.2078148281,413472.7948330045,0.0,0.0,37,0.02,14626431834.960354,3.1290331712772156e-15
iter1_k88,1,20080810,360000.0,1048000.0,87689.26910292666,1244345.1962724992,-272310.73089707334,196345.19627249916,22.27656331014518,0.8770300515805188,37,0.02,14626431834.960354,3.1290331712772156e-15
iter1_k89,1,20040608,-244000.0,780000.0,-64026.94772555375,1176543.139727994,179973.05227444624,396543.1397279941,37.455131459557556,1.4746114747857306,38,0.02,14397563471.384775,3.1787733028562322e-15
iter1_k90,1,20140509,444000.0,792000.0,-53059.412362832285,1207570.6573787767,-497059.4123628323,415570.6573787767,3.7601106118216383,0.14803585085911963,38,0.02,14397563471.384775,3.1787733028562322e-15
iter1_k91,1,19821117,308000.0,924000.0,1243623.102172737,1043858.5147040118,935623.102172737,119858.51470401185,0.0,0.0,39,0.01,13604359029.11309,1.6820561075709747e-15
iter1_k92,1,19930118,480000.0,832000.0,178948.67784076242,1193934.497739797,-301051.3221592376,361934.497739797,22.230038022813687,0.8751983473548697,40,0.01,13353044037.576754,1.713713751719249e-15
iter1_k93,1,20020913,748000.0,836000.0,773008.809578687,1420769.2664800198,25008.809578686953,584769.2664800198,15.930280256221915,0.6271763880402329,41,0.01,12115117206.026735,1.8888216106670914e-15
iter1_k94,1,19841018,300000.0,1308000.0,457292.485170316,1335416.0904016206,157292.485170316,27416.090401620604,33.09599140165918,1.3029917874668968,42,0.01,11327504331.48679,2.020153294569914e-15
iter1_k95,1,20160429,152000.0,1236000.0,47492.63191076423,660426.5806691705,-104507.36808923577,-575573.4193308295,0.0,0.0,43,0.01,10923797691.821012,2.094811332110393e-15
iter1_k96,1,19890929,912000.0,876000.0,700631.1377170675,828713.2106007203,-211368.8622829325,-47286.78939927975,4.879364319586069,0.19210095746401848,44,0.01,9650203404.90583,2.371275944595627e-15
iter1_k97,1,19911025,36000.0,1236000.0,-175984.7770360986,542012.0110676432,-211984.7770360986,-693987.9889323568,0.0,0.0,45,0.01,5912616808.444615,3.870248307285067e-15
iter1_k98,1,19960125,520000.0,860000.0,-145347.70718294845,499283.45571068185,-665347.7071829485,-360716.54428931815,16.179710454113376,0.6369964745713929,46,0.01,5521976982.139856,4.1440403081217405e-15
iter1_k99,1,19821117,308000.0,924000.0,887700.7525642874,860742.4867525535,579700.7525642874,-63257.513247446506,0.0,0.0,47,0.01,4972055453.135935,4.602381331060023e-15
